"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9363",2024-12-30,FRPNO-NLAMA,ER,RUB,"4535",0,32,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",17,0,0,0,8,8,26,0,0,5,30,7,0,0,0,0,0,3,1,0,1,0,1,0,0,0,6,0,42,0,0,0,0,0,0,0,0,0,0,8
"9364",2024-12-30,NLAMA-FRPNO,ER,PBKA,"4332",1,1,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",15,0,0,0,21,65,194,1,1,17,167,83,15,0,0,5,6,18,8,14,12,2,1,3,0,0,22,47,282,0,0,0,0,0,0,0,0,0,0,23
"9364",2024-12-30,NLAMA-FRPNO,ER,PBKA,"4332",1,1,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",15,0,0,0,6,8,34,0,0,4,37,5,2,0,0,0,0,6,3,1,2,0,1,1,0,0,10,4,48,0,0,0,0,0,0,0,0,0,0,6
"9369",2024-12-30,FRPNO-NLAMA,ER,PBA,"4540",0,0,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",18,0,0,0,5,26,44,0,0,1,45,22,7,0,0,9,10,3,2,15,8,3,1,0,0,0,45,6,75,0,0,0,0,0,0,0,0,0,0,5
"9370",2024-12-30,NLAMA-FRPNO,ER,RUB,,2,3,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",16,12,0,0,28,64,197,0,0,20,191,59,19,0,0,0,7,12,7,6,9,5,4,0,0,0,12,38,289,0,0,0,0,0,0,0,0,0,0,28
"9370",2024-12-30,NLAMA-FRPNO,ER,RUB,,2,3,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",16,0,0,0,5,11,47,1,1,0,50,4,11,0,0,6,3,5,2,6,0,0,0,0,0,0,4,18,65,0,0,0,0,0,0,0,0,0,0,7
"9376",2024-12-30,NLAMA-FRPNO,ER,PBA,,0,1,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",17,0,0,0,17,62,183,0,0,21,153,73,15,0,0,2,4,13,17,7,4,2,2,0,0,0,20,31,262,0,0,0,0,0,0,0,0,0,0,17
"9376",2024-12-30,NLAMA-FRPNO,ER,PBA,,0,1,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",17,0,0,0,9,7,35,1,1,1,36,14,2,0,0,0,3,4,7,0,4,1,2,0,0,0,17,4,53,0,0,0,0,0,0,0,0,0,0,11
"9376",2024-12-30,NLAMA-FRPNO,ER,PBA,,0,1,Schiphol Airport,Netherlands,"52.308787","4.761487","13",17,0,0,0,2,3,3,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,2
"9381",2024-12-30,FRPNO-NLAMA,ER,PBKA,"4332",0,16,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",20,0,0,0,5,6,21,0,0,0,19,10,3,0,0,0,0,3,3,0,0,1,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,5
