"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9328",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBA,,,,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",9,0,0,0,23,43,156,0,0,17,147,50,8,0,1,2,3,9,8,5,2,7,1,1,0,0,19,20,222,0,0,0,0,0,0,0,0,0,0,23
"9328",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBA,,,,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",9,0,0,0,0,24,61,0,0,8,49,23,5,0,0,2,4,3,8,4,2,0,3,0,0,0,18,8,85,0,0,0,0,0,0,0,0,0,0,0
"9339",2024-12-24,FRPNO-NLAMA,EurostarRed(Thalys),RUB,"4341",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",13,0,0,0,7,17,28,0,0,3,36,10,3,0,0,0,0,1,1,0,1,3,0,0,0,0,4,2,52,0,0,0,0,0,0,0,0,0,0,7
"9340",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),RUB,"4535",,,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",11,0,0,0,27,46,160,0,0,16,142,69,6,0,0,2,1,8,2,2,3,3,1,1,0,0,10,13,233,0,0,0,0,0,0,0,0,0,0,27
"9340",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),RUB,"4535",,,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",11,0,0,0,0,17,40,0,0,10,35,8,4,0,0,0,2,0,1,2,0,3,0,1,0,0,5,4,57,0,0,0,0,0,0,0,0,0,0,0
"9354",2024-12-24,NLAMA-BEBMI,EurostarRed(Thalys),E320,,0,3,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",13,0,0,0,21,52,215,1,1,10,197,70,13,0,0,13,21,53,34,30,15,8,3,0,0,0,68,109,290,0,0,0,0,0,0,0,0,0,0,23
"9354",2024-12-24,NLAMA-BEBMI,EurostarRed(Thalys),E320,,0,3,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",14,0,0,0,4,13,105,0,0,4,83,22,13,0,0,14,12,24,24,18,12,5,2,1,0,0,89,23,122,0,0,0,0,0,0,0,0,0,0,4
"9363",2024-12-24,FRPNO-NLAMA,EurostarRed(Thalys),RUB,"4535",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",17,0,0,0,6,20,31,0,0,4,37,16,0,0,0,1,6,6,1,4,7,1,0,0,0,0,26,0,57,0,0,0,0,0,0,0,0,0,0,6
"9364",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4301",,,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",15,0,0,0,16,48,153,1,1,5,155,56,3,0,1,0,4,9,9,4,3,2,0,0,0,0,6,26,219,0,0,0,0,0,0,0,0,0,0,18
"9364",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4301",,,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",15,0,0,0,5,21,56,0,0,4,56,18,4,0,0,0,0,9,8,2,0,2,0,0,0,0,13,8,82,0,0,0,0,0,0,0,0,0,0,5
"9364",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4301",,,Schiphol Airport,Netherlands,"52.308787","4.761487","13",15,0,0,0,6,5,18,0,0,0,19,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,6
"9369",2024-12-24,FRPNO-NLAMA,EurostarRed(Thalys),PBA,"4305",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",18,0,0,0,11,25,44,0,0,0,44,29,7,0,0,9,16,12,6,19,11,1,0,0,0,0,64,10,80,0,0,0,0,0,0,0,0,0,0,11
"9381",2024-12-24,FRPNO-NLAMA,EurostarRed(Thalys),PBKA,"4537",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",20,10,0,0,1,20,49,0,0,1,53,15,1,0,0,0,13,13,7,12,13,2,2,0,0,0,59,3,70,0,0,0,0,0,0,0,0,0,0,1
"9414",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),PBKA,"4332",,,Dusseldorf Hbf,Germany,"51.21996","6.794316","13",6,0,0,0,0,12,48,0,0,4,46,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0
"9414",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),PBKA,"4332",,,Dortmund Hbf,Germany,"51.517898","7.459293","16",5,0,0,0,0,4,6,0,0,0,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
"9414",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),PBKA,"4332",,,Cologne Hbf,Germany,"50.8789","7.119303","16",6,0,0,0,4,23,88,0,0,10,66,34,5,0,0,0,2,5,1,0,1,2,0,0,0,0,11,0,115,0,0,0,0,0,0,0,0,0,0,4
"9423",2024-12-24,FRPNO-DEDTM,EurostarRed(Thalys),RUB,"4302",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",11,0,0,0,6,7,17,0,0,4,18,8,0,0,0,0,3,3,2,0,3,0,0,0,0,0,8,3,30,0,0,0,0,0,0,0,0,0,0,6
"9426",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),RUB,"4331",,,Dusseldorf Hbf,Germany,"51.21996","6.794316","13",8,0,0,0,9,15,39,0,0,10,48,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,63,0,0,0,0,0,0,0,0,0,0,9
"9426",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),RUB,"4331",,,Aachen Hbf,Germany,"50.77607","6.08378","16",9,0,0,0,0,7,25,0,0,0,26,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0
"9426",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),RUB,"4331",,,Cologne Hbf,Germany,"50.8789","7.119303","16",8,0,0,0,18,32,122,0,0,21,103,35,13,0,0,2,0,4,0,2,1,0,1,0,0,0,2,8,172,0,0,0,0,0,0,0,0,0,0,18
"9435",2024-12-24,FRPNO-DEDTM,EurostarRed(Thalys),RUB,"4344",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",13,0,0,0,9,6,38,0,0,2,36,11,4,0,0,1,0,1,6,3,3,0,0,0,0,0,10,4,53,0,0,0,0,0,0,0,0,0,0,9
"9450",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),PBKA,"4346",,,Aachen Hbf,Germany,"50.77607","6.08378","16",13,0,0,0,0,4,30,0,0,3,24,6,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0
"9450",2024-12-24,DEDTM-FRPNO,EurostarRed(Thalys),PBKA,"4346",,,Cologne Hbf,Germany,"50.8789","7.119303","16",12,0,0,0,33,63,202,1,1,26,200,54,20,0,0,2,2,1,0,5,3,0,0,0,0,0,6,7,300,0,0,0,0,0,0,0,0,0,0,35
"9459",2024-12-24,FRPNO-DEDTM,EurostarRed(Thalys),PBKA,"4304",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",17,0,0,0,0,7,26,0,0,1,25,6,1,0,0,2,2,0,0,5,2,0,0,0,0,0,5,6,33,0,0,0,0,0,0,0,0,0,0,0
